1,Prismas basálticos,Huasca de Ocampo,formas rococosas creadas por la acción de lava y agua por miles de años
2,Dinoparque,Pachuca de Soto,cuenta con diversas figuras a tamaño real de dinosaurios
3,Huasca de Ocampo,Huasca de Ocampo,"es un pueblo mágico, lo que garantiza una experiencia bella"
4,Pachuca de Soto,Pachuca de Soto,"reloj monumental, comida como pastes, lugares tales como Mercado de Barreteros y Museo de Minería"
5,"Zona Arqueológica
de Tula",Tula de Allende,esculturas de los Atlantes que representan guerreros toltecas
6,"Parque Nacional El
Chico",Mineral del Chico,"senderismo, escalada y bellos paisajes montañosos"
7,Real del Monte,Real del Monte,"arquitectura minera inglesa, pastes e historia minera"
8,"Grutas de
Tolantongo",Cardonal,"cuevas con aguas termales, cascadas y piscinas"
9,Huichapan,Huichapan,"exconvenio franciscano, aguas termales"
10,Tuzoofari,Epazoyucan,más de 250 especies animales
